ID Number,Date,Activity,Start Time,End Time,Sleep Location,Break Location
0656,1/11/2010,B,11:11,12:15,,Off train
0656,1/11/2010,W,12:15,13:52,,
0656,1/11/2010,C,13:52,14:15,,
0656,1/11/2010,P,14:15,22:30,,
0656,1/11/2010,S,22:30,5:00,H,
0656,1/12/2010,P,5:00,5:20,,
0656,1/12/2010,C,5:20,5:43,,
0656,1/12/2010,W,5:43,7:27,,
0656,1/12/2010,B,7:27,8:00,,Off train
0656,1/12/2010,W,8:00,9:10,,
0656,1/12/2010,B,9:10,10:04,,Train
0656,1/12/2010,W,10:04,11:10,,
0656,1/12/2010,B,11:10,12:15,,Off train
0656,1/12/2010,W,12:15,13:52,,
0656,1/12/2010,C,13:52,14:15,,
0656,1/12/2010,P,14:15,23:00,,
0656,1/12/2010,S,23:00,5:00,H,
0656,1/13/2010,P,5:00,5:20,,
0656,1/13/2010,C,5:20,5:43,,
0656,1/13/2010,W,5:43,7:27,,
0656,1/13/2010,B,7:27,8:00,,Off train
0656,1/13/2010,W,8:00,9:10,,
0656,1/13/2010,B,9:10,10:04,,Train
0656,1/13/2010,W,10:04,11:09,,
0656,1/13/2010,B,11:09,12:15,,Off train
0656,1/13/2010,W,12:15,13:52,,
0656,1/13/2010,C,13:52,14:15,,
0656,1/13/2010,P,14:15,23:30,,
0656,1/13/2010,S,23:30,5:00,H,
0656,1/14/2010,P,5:00,5:20,,
0656,1/14/2010,C,5:20,5:43,,
0656,1/14/2010,W,5:43,7:27,,
0656,1/14/2010,B,7:27,8:00,,Off train
0656,1/14/2010,W,8:00,9:10,,
0656,1/14/2010,B,9:10,10:04,,Train
0656,1/14/2010,W,10:04,11:25,,
0656,1/14/2010,B,11:25,12:15,,Off train
0656,1/14/2010,W,12:15,13:52,,
0656,1/14/2010,C,13:52,14:15,,
0656,1/14/2010,P,14:15,23:15,,
0656,1/14/2010,S,23:15,5:00,H,
0656,1/15/2010,P,5:00,5:20,,
0656,1/15/2010,C,5:20,5:43,,
0656,1/15/2010,W,5:43,7:27,,
0656,1/15/2010,B,7:27,8:00,,Off train
0656,1/15/2010,W,8:00,9:10,,
0656,1/15/2010,B,9:10,10:07,,Train
0656,1/15/2010,W,10:07,11:09,,
0656,1/15/2010,B,11:09,12:15,,Off train
0656,1/15/2010,W,12:15,13:52,,
0656,1/15/2010,C,13:52,14:15,,
0656,1/15/2010,P,14:15,0:00,,
0656,1/16/2010,S,0:00,5:30,H,
0656,1/16/2010,P,5:30,23:00,,
0656,1/16/2010,S,23:00,7:30,A,
0656,1/17/2010,P,7:30,23:30,,
0656,1/17/2010,S,23:30,5:30,A,
0656,1/18/2010,P,5:30,22:00,,
0656,1/18/2010,S,22:00,5:00,H,
0656,1/19/2010,P,5:00,5:20,,
